,지도표시 매체명,회사명,매체 위치좌표,,지번주소,도로명주소,규격,입지특성,,키워드1,키워드2,키워드3,키워드4,키워드5,거리뷰좌표,해상도,계약정보
336,홍대 M-스크린,인앤아웃컴퍼니,37.5577651,126.9245179,서울특별시 마포구 동교동  156-2,서울특별시 마포구 양화로  175 마젤란21 오피스텔,10.0 x 20.0m,.,06:00 - 24:00,연남동,홍대입구역,환승,,,"37.5566667,126.9236921,1.2232417865466734,16.27361492210163,90",960 x 1920,"1일 20초 100회 - 1,200만원/월1일 30초 100회 - 1,500만원/월*기재된 내용 외의 기간 및 비용 협의 가능"
337,홍대 상진빌딩,인앤아웃컴퍼니,37.5572103,126.9236203,서울 마포구 동교동 159-1,서울 마포구 양화로 165 (동교동),16.0m x 14.0m,#홍대입구역 #연남동 #교통 #환승구간 #2030 #문화거리 #상권  ,06:00 - 24:00,연남동,문화거리,,,,"37.5571239,126.9243243,269.2578395469317,18.037925935258446,90","A면 960x1376, B면 624x1376","1일 20초 100회 - 1,200만원/월1일 30초 100회 - 1,500만원/월*기재된 내용 외의 기간 및 비용 협의 가능"
338,홍대 토니모리,인앤아웃컴퍼니,37.5542549,126.9224158,서울 마포구 서교동 365-2,서울 마포구 홍익로3길 1 (서교동),"A면 3.6m x 1.8m, B면 6.5m x 1.8m",.,09:00 - 25:00,2030,홍대정문,홍익로,,,"37.5542492,126.9226333,618.2300915058836,5.125343005857748,90","A면 880x440, B면 1600x440",1일 20초 150회 - 700만원/월1일 30초 100회 - 700만원/월*기재된 내용 외의 기간 및 비용 협의 가능
339,홍대 미래프라자,인앤아웃컴퍼니,37.5567326,126.9241712,서울 마포구 동교동 165-1,서울 마포구 양화로 166 (동교동),13.8 x 16.2m,.,06:00 - 24:00,홍대입구역,홍대거리,,,,"37.5572205,126.9240675,161.46825243240684,17.927088313546832,90",1360 x 1600,"1일 15초 100회 - 1,000만원/월1일 20초 100회 - 1,200만원/월1일 30초 100회 - 1,500만원/월*기재된 내용 외의 기간 및 비용 협의 가능"
340,신사역 SYH타워 메가마티아 전광판,인앤아웃컴퍼니,37.5167674,127.0202638,서울특별시 강남구 신사동  501-2,서울특별시 강남구 도산대로  107 BIO,11.8 x 19.0m,.,06:00 - 24:00,신사역사거리,정체구간,,,,"37.516032,127.01991,345.0391891129981,13.051108298044026,90",1248 x 1872,"1일 20초 100회 - 1,200만원/월1일 30초 100회 - 1,500만원/월*기재된 내용 외의 기간 및 비용 협의 가능"
341,강남대로 원앤원,인앤아웃컴퍼니,37.5092956,127.0226432,서울 강남구 논현동 143-6,서울 강남구 강남대로 528 (논현동),9.4m x 19.6m,.,06:00 - 24:00,논현역,신분당선,영동시장,,,"37.5097574,127.0218444,-241.90928555286465,12.41042369950232,100",817 x 1825,"1일 20초 100회 - 1,200만원/월1일 20초 100회 - 1,500만원/월*기재된 내용 외의 기간 및 비용 협의 가능"
342,강남역 규정빌딩,인앤아웃컴퍼니,37.4995184,127.0272984,서울 강남구 역삼동 820,서울 강남구 강남대로 412 (역삼동),28.0 x 8.0m,.,06:00 - 24:00,강남대로,의료시설밀집,금융기관,,,"37.4994706,127.0267492,-295.7534234311667,13.436482351823376,100",2496 x 768 / (480+1536+480) x 768,"1일 20초 100회 - 1,200만원/월1일 30초 100회 - 1,500만원/월*기재된 내용 외의 기간 및 비용 협의 가능"
343,강남역 몬테소리,인앤아웃컴퍼니,37.498347,127.0269264,서울특별시 서초구 서초동  1318-8,서울특별시 서초구 강남대로  399 몬테소리,33.0m x 10.2m,#강남역 #2호선 #신분당선 #강남역사거리 #강남대로 #테헤란로 #메가박스 #삼성본관 #20~40 밀집지역  ,06:00 - 24:00,강남역사거리,삼성본관,,,,"37.497918,127.027657,-426.3071719550647,12.752443250275968,100","4120x1280, (920+2200+1000)x1280","1일 15초 160회 - 2,000만원/월1일 20초 120회 - 2,000만원/월1일 30초   80회 - 2,000만원/월싱크+일반 80회 - 4,000만원/*기재된 내용 외의 기간 및 비용 협의 가능"
344,강남역 미진프라자,인앤아웃컴퍼니,37.497901,127.028709,서울 강남구 역삼동 825,서울 강남구 강남대로 390 (역삼동),20.3m x 11.0m,. ,06:00 - 24:00,강남역사거리,삼성본관,,,,"37.498237,127.027372,110.41922308049844,5.081433325780487,100",2016 x 1088,"1일 20초 100회 - 1,200만원/월1일 30초 100회 - 1,500만원/월*기재된 내용 외의 기간 및 비용 협의 가능"
345,강남역 씨티빌딩 G-Vision ,인앤아웃컴퍼니,37.500395,127.0268811,서울 강남구 역삼동 816,서울 강남구 강남대로 422 (역삼동),24.4 x 8.6m,.,06:00 - 24:00,메가박스,버스환승역,,,,"37.4999204,127.0265258,23.887299536039524,7.817589731969964,100",2400 x 832 / (1568+832) x 832,"1일 20초 100회 - 1,200만원/월1일 30초 100회 - 1,500만원/월*기재된 내용 외의 기간 및 비용 협의 가능"
346,광화문 다정빌딩,인앤아웃컴퍼니,37.5704842,126.9762033,서울 종로구 신문로1가 1-1,서울 종로구 새문안로 103-1 (신문로1가),12.0m x 8.0m,.,06:00 - 24:00,세종문화회관,일민미술관,,,,"37.5702805,126.9768621,-87.54545454545503,3.475935828876987,100",1920 x 1080,1일 20초 100회 - 1000만원/월*기재된 내용 외의 기간 및 비용 협의 가능
